country,population_mil,articles,high_quality,articles_percap,hq_articles_percap
Afghanistan,36.5,327,10.0,8.95890410958904e-06,2.73972602739726e-07
Albania,2.9,460,4.0,0.0001586206896551724,1.3793103448275862e-06
Algeria,42.7,119,2.0,2.786885245901639e-06,4.68384074941452e-08
Andorra,0.08,34,0.0,0.000425,0.0
Angola,30.4,110,0.0,3.6184210526315788e-06,0.0
Antigua and Barbuda,0.1,25,0.0,0.00025,0.0
Argentina,44.5,496,15.0,1.1146067415730336e-05,3.3707865168539325e-07
Armenia,3.0,199,5.0,6.633333333333334e-05,1.6666666666666667e-06
Australia,24.1,1566,42.0,6.49792531120332e-05,1.7427385892116182e-06
Austria,8.8,340,3.0,3.8636363636363636e-05,3.409090909090909e-07
Azerbaijan,9.9,182,2.0,1.8383838383838383e-05,2.0202020202020202e-07
Bahamas,0.4,20,0.0,5e-05,0.0
Bahrain,1.5,42,1.0,2.8e-05,6.666666666666667e-07
Bangladesh,166.4,324,3.0,1.9471153846153845e-06,1.8028846153846154e-08
Barbados,0.3,14,0.0,4.6666666666666665e-05,0.0
Belarus,9.5,72,2.0,7.578947368421053e-06,2.105263157894737e-07
Belgium,11.4,523,0.0,4.587719298245614e-05,0.0
Belize,0.4,16,0.0,4e-05,0.0
Benin,11.5,94,7.0,8.17391304347826e-06,6.08695652173913e-07
Bhutan,0.8,33,3.0,4.125e-05,3.75e-06
Bolivia,11.3,187,1.0,1.654867256637168e-05,8.849557522123894e-08
Bosnia-Herzegovina,3.5,178,7.0,5.0857142857142854e-05,2e-06
Botswana,2.2,68,2.0,3.090909090909091e-05,9.09090909090909e-07
Brazil,209.4,556,3.0,2.6552053486150907e-06,1.4326647564469914e-08
Bulgaria,7.0,226,3.0,3.228571428571428e-05,4.2857142857142857e-07
Burkina Faso,20.3,97,3.0,4.778325123152709e-06,1.477832512315271e-07
Burundi,11.8,76,1.0,6.440677966101695e-06,8.47457627118644e-08
Cambodia,16.0,217,3.0,1.35625e-05,1.875e-07
Cameroon,25.6,106,0.0,4.140625e-06,0.0
Canada,37.2,852,25.0,2.2903225806451612e-05,6.720430107526881e-07
Cape Verde,0.6,37,0.0,6.166666666666667e-05,0.0
Central African Republic,4.7,68,8.0,1.4468085106382978e-05,1.7021276595744682e-06
Chad,15.4,100,2.0,6.493506493506494e-06,1.2987012987012987e-07
Chile,18.6,352,3.0,1.89247311827957e-05,1.6129032258064515e-07
China,1393.8,1138,33.0,8.164729516429904e-07,2.3676280671545415e-08
Colombia,49.8,288,3.0,5.783132530120482e-06,6.024096385542168e-08
Comoros,0.8,51,0.0,6.375e-05,0.0
Congo,5.4,149,2.0,2.7592592592592594e-05,3.7037037037037036e-07
Costa Rica,5.0,150,0.0,3e-05,0.0
Croatia,4.1,168,2.0,4.097560975609756e-05,4.878048780487805e-07
Cuba,11.1,176,2.0,1.5855855855855855e-05,1.8018018018018017e-07
Cyprus,1.2,102,1.0,8.5e-05,8.333333333333333e-07
Denmark,5.8,291,4.0,5.017241379310345e-05,6.896551724137931e-07
Djibouti,1.0,39,0.0,3.9e-05,0.0
Dominica,0.07,12,1.0,0.00017142857142857143,1.4285714285714285e-05
Dominican Republic,10.8,64,1.0,5.925925925925926e-06,9.259259259259259e-08
Ecuador,17.0,187,2.0,1.1e-05,1.1764705882352942e-07
Egypt,97.0,239,8.0,2.463917525773196e-06,8.247422680412371e-08
Equatorial Guinea,1.3,32,1.0,2.4615384615384616e-05,7.692307692307693e-07
Eritrea,6.0,16,1.0,2.666666666666667e-06,1.6666666666666668e-07
Estonia,1.3,153,1.0,0.00011769230769230769,7.692307692307693e-07
Ethiopia,107.5,105,1.0,9.767441860465117e-07,9.302325581395349e-09
Federated States of Micronesia,0.1,38,0.0,0.00038,0.0
Fiji,0.9,199,1.0,0.0002211111111111111,1.111111111111111e-06
Finland,5.5,572,0.0,0.000104,0.0
France,65.1,1689,20.0,2.5944700460829497e-05,3.0721966205837175e-07
Gabon,2.1,103,5.0,4.904761904761905e-05,2.3809523809523808e-06
Gambia,2.2,82,4.0,3.7272727272727276e-05,1.818181818181818e-06
Germany,82.8,703,14.0,8.490338164251208e-06,1.6908212560386473e-07
Ghana,29.5,395,6.0,1.3389830508474577e-05,2.0338983050847458e-07
Greece,10.6,311,8.0,2.9339622641509435e-05,7.547169811320754e-07
Grenada,0.1,36,1.0,0.00036,1e-05
Guatemala,17.2,84,5.0,4.883720930232558e-06,2.9069767441860464e-07
Guinea,11.9,89,2.0,7.4789915966386555e-06,1.680672268907563e-07
Guinea-Bissau,1.9,21,1.0,1.1052631578947368e-05,5.263157894736842e-07
Guyana,0.8,20,0.0,2.5e-05,0.0
Haiti,10.8,166,3.0,1.537037037037037e-05,2.7777777777777776e-07
Hungary,9.8,614,9.0,6.265306122448979e-05,9.183673469387755e-07
Iceland,0.4,206,2.0,0.000515,5e-06
India,1371.3,990,14.0,7.219426821264494e-07,1.0209290454313426e-08
Indonesia,265.2,215,8.0,8.10708898944193e-07,3.0165912518853697e-08
Iran,81.6,832,11.0,1.0196078431372549e-05,1.3480392156862746e-07
Iraq,40.2,302,8.0,7.5124378109452735e-06,1.9900497512437812e-07
Ireland,4.9,381,24.0,7.775510204081632e-05,4.897959183673469e-06
Israel,8.5,498,21.0,5.858823529411765e-05,2.4705882352941177e-06
Italy,60.6,828,6.0,1.3663366336633664e-05,9.900990099009901e-08
Jamaica,2.9,85,2.0,2.9310344827586206e-05,6.896551724137931e-07
Japan,126.5,441,8.0,3.4861660079051384e-06,6.324110671936759e-08
Jordan,10.2,48,1.0,4.705882352941176e-06,9.80392156862745e-08
